№;Функционал;Тип;Сделано;Как и через что работает
1;Текстовый чат;обязательная;Да;Пользователь пишет запрос в интерфейсе OpenWebUI, запрос уходит в OpenAI совместимый endpoint /v1/chat/completions, а дальше обрабатывается в app/modules/openai_compat/service.py. Поддерживаются и обычные ответы, и потоковый режим, поэтому чат работает стабильно и в real time.
2;Голосовой чат;обязательная;Да;В OpenWebUI пользователь записывает голос, фронтенд отправляет аудио в backend на /v1/audio/transcriptions, и сервис openai_compat.audio_transcription возвращает готовый текст. Этот текст сразу подставляется в чат как обычное сообщение и участвует в дальнейшем диалоге.
3;Генерация изображений в чате;обязательная;Да;Когда пользователь просит создать картинку, клиент вызывает /v1/images/generations, а backend через llm_router выбирает профиль IMAGE_GENERATION и целевую модель. Сгенерированный результат возвращается в OpenAI-совместимом формате; индексация в медиа-галерею выполняется в chat-flow через media_gallery ingestion.
4;Аудиофайлы + автоматический ASR;обязательная;Да;Пользователь может загрузить готовый аудиофайл, файл передается multipart запросом на /v1/audio/transcriptions, после чего backend автоматически выбирает ASR модель и делает распознавание. На выходе пользователь получает текстовую расшифровку, готовую для редактирования и отправки.
5;Изображения (VLM);обязательная;Да;Изображения в сообщениях нормализуются в middleware OpenWebUI и передаются как image_url в OpenAI совместимый payload. В openai_compat к запросу добавляется visual context, и vision модель анализирует картинку вместе с текстом пользователя.
6;Файлы и ответы по содержимому;обязательная;Да;Файлы загружаются в контур retrieval OpenWebUI, индексируются и становятся доступны для поиска по содержимому. При вопросе пользователя релевантные фрагменты автоматически подмешиваются в контекст, поэтому модель отвечает по документу, а не только по общим знаниям.
7;Поиск в интернете;обязательная;Да;Система выполняет web search через подключенный поисковый контур и подтягивает данные из внешних источников. Найденные материалы добавляются в контекст ответа, благодаря чему модель опирается на актуальные данные из сети.
8;Веб-парсинг по ссылке из сообщения;обязательная;Да;При режиме deep_research_link_capture_mode=attach_and_chat_links openai_compat извлекает URL из текста и передает их в deep_research.fetch_webpage_excerpt для получения краткого содержимого страницы. Excerpt включается в system context, а нормализация ссылок учитывает markdown-хвосты и скобки в URL.
9;Долгосрочная память;обязательная;Да;Модуль chat_memory сохраняет важные факты и историю в PostgreSQL, а также использует Qdrant для векторного поиска по воспоминаниям. Перед ответом выполняется recall релевантных записей и summary ветки, после чего память подмешивается в prompt context.
10;Автовыбор модели под задачу;обязательная;Да;Автомаршрутизация в auto_model и llm_router классифицирует запрос и определяет категорию задачи, например GENERAL, CODING, REASONING, VISION или IMAGE_GENERATION. На основе категории выбирается оптимальная модель, что повышает качество и снижает лишние переключения вручную.
11;Ручной выбор модели;обязательная;Да;В интерфейсе пользователь может выбрать конкретную модель для ответа, и выбранный model_id передается напрямую в payload.
12;Markdown и форматированный код;обязательная;Да;Ответы рендерятся markdown компонентами OpenWebUI с поддержкой заголовков, списков, таблиц и code block с подсветкой. За счет этого технические ответы читаются структурно и код удобно копировать без ручной доработки.
13;Deep Research / research-режим;дополнительная;Да;Deep Research работает как отдельный pipeline в app/modules/deep_research/service.py и проходит этапы subqueries, search, fetch и synthesis. Финальный ответ собирается на основе нескольких источников и возвращается вместе с блоком Sources для прозрачности.
14;Стабилизация фронтенд сборки OpenWebUI;дополнительная;Да;Усилена устойчивость фронтенда после релизов за счет recovery stale chunk в src/app.html и корректной обработки проблем с кешем ассетов. Это уменьшает зависания splash экрана и снижает риск белого экрана при обновлении клиента.
15;Переход с MySQL на PostgreSQL;дополнительная;Да;Сервисы переведены на PostgreSQL как основной runtime storage в docker compose и переменных окружения. Схема поддерживается миграциями Alembic, поэтому обновления структуры базы применяются управляемо и повторяемо.
16;Интеграция OpenWebUI с локальным GPTHub провайдером;дополнительная;Да;OpenWebUI подключен к GPTHub API как к локальному провайдеру и ходит через backend/open_webui/routers/gpthub.py. В docker-compose адрес прокидывается как GPTHUB_API_URL (из OPENWEBUI_GPTHUB_API_URL), а авторизация для OpenAI-контура берется из настроек подключения/OPENAI_API_KEY.
17;Управляемый аватар моделей MWS GPT;дополнительная;Да;Добавлена поддержка дефолтного аватара моделей с возможностью замены через настройки GPTHub. Получение изображения реализовано endpoint /v1/assets/model-avatars/default, поэтому аватар централизованно используется в интерфейсе.
18;Единый контур подключений к OpenAI и Ollama;дополнительная;Да;Подключения вынесены в provider_connections, где хранятся параметры провайдеров и их доступность. llm_router работает поверх этой абстракции и выбирает активный provider slug и upstream model единообразно для разных API.
19;Переопределение автомаршрутизации моделей;дополнительная;Да;В GPTHub Settings можно задавать Task Type Override и ручные правила для model type overrides. Эти настройки применяются в рантайме и позволяют тонко управлять тем, как автомодель распределяет запросы по моделям.
20;Калибровка автомодели и классификатора;дополнительная;Да;Для режима Auto сделаны настраиваемые classifier model и mapping моделей по типам задач, что позволяет целенаправленно сравнивать и улучшать маршрутизацию. Проверка выполняется через внутренние probes и настройки GPTHub без правок кода при каждом эксперименте.
21;Подсветка использования долгосрочной памяти;дополнительная;Да;Когда память подтягивается в ответ, в контекст попадает отдельный блок Relevant context from long-term memory, и влияние памяти становится явно заметным по содержанию ответа. Это дает пользователю предсказуемость и понимание, что система опирается на ранее запомненные факты.
22;Редактирование распознанного голосового ввода;дополнительная;Да;После записи голосового сообщения фронтенд отправляет аудио на /v1/audio/transcriptions, а полученный транскрипт подставляется в поле ввода. Пользователь может вручную отредактировать текст перед отправкой в чат.
23;Оркестрация AI агентов для задач разработки;дополнительная;Да;Agentic loop построен как граф ролей с supervisor и специализированными агентами backend_dev, frontend_dev, devops и qa_tester. Оркестратор распределяет подзадачи между агентами и собирает результат в единый рабочий цикл.
24;Автопроверка кода в изолированной среде;дополнительная;Да;Агент qa_tester запускает проверки через e2b_runner в sandbox окружении, где код выполняется отдельно от основного сервиса. На выходе формируется отчет о выполнении и acceptance verdict, что делает контроль качества воспроизводимым и безопасным.
25;Медиа галерея генераций и загрузок;дополнительная;Да;Модуль media_gallery сохраняет изображения, промпты и метаданные как для сгенерированных, так и для загруженных пользователем файлов. В интерфейсе страница /gallery показывает карточки, фильтры и переход в исходный чат, где этот медиа объект был использован.
26;Model Court для выбора лучшего ответа;дополнительная;Да;model_court запускает несколько моделей кандидатов на одном запросе и передает ответы judge модели для сравнения. Судья выбирает победителя и возвращает объяснение выбора, что позволяет объективнее подбирать рабочую модель под задачу.
27;AI Workspace в браузере для проектной работы;дополнительная;Да;AI workspaces дает управление проектом прямо в браузере, включая создание структуры файлов, редактирование и получение контекста. Через endpoint запуска workspace agent можно поручать агенту изменения в кодовой базе и сразу видеть результат в дереве файлов.
